Water [kg],Cement [kg],Sand [kg],CA [kg],smax [mm],SP [kg],Fiber type,ρf,ff [MPa],Vf [%],df [mm],Lf [mm],fst [MPa],w/c,s/a,a/c,Lf /df ,ρfLf /df ,Lf_df_ratio,rho_f_x_Lf_df,fiber_factor
137.5,550.0,682.0,1050.5,10,1.595,Hooked,1.0,1250.0,1.5,0.75,60.0,5.4,0.25,0.393650793650794,3.15,80.0,80.0,80.0,80.0,120.0
157.5,450.0,715.5,1053.0,10,0.675,No fiber,0.0,0.0,0.0,0.0,0.0,3.65,0.35,0.404580152671756,3.93,0.0,0.0,0.0,0.0,0.0
157.5,450.0,715.5,1053.0,10,0.675,Hooked,1.0,1250.0,0.5,0.62,40.0,3.84,0.35,0.404580152671756,3.93,64.5161290322581,64.5161290322581,64.5161290322581,64.5161290322581,32.258064516129
157.5,450.0,715.5,1053.0,10,0.675,Hooked,1.0,1250.0,1.0,0.62,40.0,4.01,0.35,0.404580152671756,3.93,64.5161290322581,64.5161290322581,64.5161290322581,64.5161290322581,64.5161290322581
157.5,450.0,715.5,1053.0,10,0.675,Hooked,1.0,1250.0,1.5,0.62,40.0,4.21,0.35,0.404580152671756,3.93,64.5161290322581,64.5161290322581,64.5161290322581,64.5161290322581,96.7741935483871
157.5,450.0,715.5,1053.0,10,0.675,Hooked,1.0,1250.0,0.5,0.62,50.0,4.06,0.35,0.404580152671756,3.93,80.6451612903226,80.6451612903226,80.6451612903226,80.6451612903226,40.3225806451613
157.5,450.0,715.5,1053.0,10,0.675,Hooked,1.0,1250.0,1.0,0.62,50.0,4.2,0.35,0.404580152671756,3.93,80.6451612903226,80.6451612903226,80.6451612903226,80.6451612903226,80.6451612903226
157.5,450.0,715.5,1053.0,10,0.675,Hooked,1.0,1250.0,1.5,0.62,50.0,4.31,0.35,0.404580152671756,3.93,80.6451612903226,80.6451612903226,80.6451612903226,80.6451612903226,120.967741935484
157.5,450.0,715.5,1053.0,10,0.675,Hooked,1.0,1250.0,0.5,0.75,60.0,3.94,0.35,0.404580152671756,3.93,80.0,80.0,80.0,80.0,40.0
157.5,450.0,715.5,1053.0,10,0.675,Hooked,1.0,1250.0,1.0,0.75,60.0,4.55,0.35,0.404580152671756,3.93,80.0,80.0,80.0,80.0,80.0
157.5,450.0,715.5,1053.0,10,0.675,Hooked,1.0,1250.0,1.5,0.75,60.0,4.69,0.35,0.404580152671756,3.93,80.0,80.0,80.0,80.0,120.0
157.5,350.0,798.0,1078.0,10,0.42,No fiber,0.0,0.0,0.0,0.0,0.0,3.26,0.45,0.425373134328358,5.36,0.0,0.0,0.0,0.0,0.0
157.5,350.0,798.0,1078.0,10,0.42,Hooked,1.0,1250.0,0.5,0.62,40.0,3.36,0.45,0.425373134328358,5.36,64.5161290322581,64.5161290322581,64.5161290322581,64.5161290322581,32.258064516129
157.5,350.0,798.0,1078.0,10,0.42,Hooked,1.0,1250.0,1.0,0.62,40.0,4.04,0.45,0.425373134328358,5.36,64.5161290322581,64.5161290322581,64.5161290322581,64.5161290322581,64.5161290322581
157.5,350.0,798.0,1078.0,10,0.42,Hooked,1.0,1250.0,1.5,0.62,40.0,4.47,0.45,0.425373134328358,5.36,64.5161290322581,64.5161290322581,64.5161290322581,64.5161290322581,96.7741935483871
157.5,350.0,798.0,1078.0,10,0.42,Hooked,1.0,1250.0,0.5,0.62,50.0,3.63,0.45,0.425373134328358,5.36,80.6451612903226,80.6451612903226,80.6451612903226,80.6451612903226,40.3225806451613
157.5,350.0,798.0,1078.0,10,0.42,Hooked,1.0,1250.0,1.0,0.62,50.0,4.26,0.45,0.425373134328358,5.36,80.6451612903226,80.6451612903226,80.6451612903226,80.6451612903226,80.6451612903226
157.5,350.0,798.0,1078.0,10,0.42,Hooked,1.0,1250.0,1.5,0.62,50.0,4.71,0.45,0.425373134328358,5.36,80.6451612903226,80.6451612903226,80.6451612903226,80.6451612903226,120.967741935484
157.5,350.0,798.0,1078.0,10,0.42,Hooked,1.0,1250.0,0.5,0.75,60.0,3.62,0.45,0.425373134328358,5.36,80.0,80.0,80.0,80.0,40.0
157.5,350.0,798.0,1078.0,10,0.42,Hooked,1.0,1250.0,1.0,0.75,60.0,4.18,0.45,0.425373134328358,5.36,80.0,80.0,80.0,80.0,80.0
